127.0.0.1, 2019-06-22 08:50:56, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000212
127.0.0.1, 2019-06-22 08:50:56, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.002679
127.0.0.1, 2019-06-22 08:50:56, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000408
127.0.0.1, 2019-06-22 08:50:58, GET, /admin/default/index, HTTP/1.1, 200, 0.142077
127.0.0.1, 2019-06-22 08:50:58, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000492
127.0.0.1, 2019-06-22 08:50:58, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000626
127.0.0.1, 2019-06-22 08:50:58, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.004284
127.0.0.1, 2019-06-22 08:50:58, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.002423
127.0.0.1, 2019-06-22 08:50:58, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.007024
127.0.0.1, 2019-06-22 08:50:58, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001288
127.0.0.1, 2019-06-22 08:50:58, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004016
127.0.0.1, 2019-06-22 08:50:58, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004631
127.0.0.1, 2019-06-22 08:50:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001090
127.0.0.1, 2019-06-22 08:51:00, POST, /admin/default/index, HTTP/1.1, 303, 0.006457
127.0.0.1, 2019-06-22 08:51:00, GET, /admin/default/site, HTTP/1.1, 200, 0.035630
127.0.0.1, 2019-06-22 08:51:01, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.000321
127.0.0.1, 2019-06-22 08:51:01, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.000337
127.0.0.1, 2019-06-22 08:51:01, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000431
127.0.0.1, 2019-06-22 08:51:01, POST, /admin/default/check_version, HTTP/1.1, 200, 0.518830
127.0.0.1, 2019-06-22 08:51:06, GET, /admin/default/design/cvs, HTTP/1.1, 200, 0.128855
127.0.0.1, 2019-06-22 08:51:06, GET, /admin/static/_2.18.5/images/search.png, HTTP/1.1, 200, 0.000545
127.0.0.1, 2019-06-22 08:51:06, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.000475
127.0.0.1, 2019-06-22 08:51:06, GET, /admin/static/_2.18.5/images/delete_icon.png, HTTP/1.1, 200, 0.000510
127.0.0.1, 2019-06-22 08:51:06, GET, /admin/static/_2.18.5/images/test_icon.png, HTTP/1.1, 200, 0.000480
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/default/edit/cvs/models/user.py, HTTP/1.1, 200, 0.026889
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000442
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000340
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000603
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000688
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.003062
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000889
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001644
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001742
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001376
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000486
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000515
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000398
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000439
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000381
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.004725
127.0.0.1, 2019-06-22 08:51:15, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000339
